Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/996.mtx 4:15 6:85 8:449 10:2725 12:17414 14:114381 16:771313 18:5271827 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/840.mtx 4:26 6:117 8:741 10:4757 12:34641 14:256203 16:1936918 18:14879209 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/588.mtx 4:23 6:82 8:631 10:3659 12:26606 14:182395 16:1326082 18:9667637 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/352.mtx 4:21 6:109 8:776 10:5108 12:37150 14:278053 16:2122996 18:16494101 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/890.mtx 4:30 6:129 8:941 10:6823 12:53265 14:419167 16:3414347 18:28083819 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/522.mtx 4:21 6:113 8:697 10:4545 12:32875 14:241593 16:1804226 18:13740967 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/033.mtx 4:18 6:103 8:743 10:4639 12:33503 14:242367 16:1836137 18:13960394 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/715.mtx 4:21 6:124 8:823 10:5522 12:41490 14:315138 16:2452719 18:19386530 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/492.mtx 4:23 6:149 8:1032 10:7662 12:59946 14:484960 16:4019530 18:33812571 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/390.mtx 4:18 6:77 8:550 10:2999 12:20849 14:137979 16:965619 18:6743854 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/931.mtx 4:15 6:97 8:554 10:3438 12:23204 14:159596 16:1126499 18:8092871 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/083.mtx 4:21 6:113 8:713 10:4791 12:34726 14:255516 16:1932795 18:14824909 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/695.mtx 4:19 6:90 8:539 10:3365 12:22544 14:154566 16:1087103 18:7770511 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/305.mtx 4:25 6:145 8:900 10:6314 12:48754 14:383254 16:3065634 18:24913326 
/home/antonkov/masterWork/spectrumSources/../gentests/Richardson36/676.mtx 4:16 6:99 8:525 10:3338 12:22404 14:153467 16:1077882 18:7689263 
