Results
Filename spectrum1 spectrum2 spectrum3 spectrum4 spectrum5 spectrum6 spectrum7 spectrum8 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/305.mtx 4:39 6:128 8:1409 10:9392 12:86257 14:702860 16:6303295 18:55331744 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/676.mtx 4:47 6:126 8:1381 10:9386 12:86242 14:702694 16:6299473 18:55337990 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/666.mtx 4:31 6:128 8:1485 10:9404 12:86197 14:702332 16:6297803 18:55338980 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/275.mtx 4:48 6:116 8:1408 10:9408 12:85984 14:702800 16:6300203 18:55342760 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/914.mtx 4:32 6:135 8:1477 10:9294 12:86050 14:703236 16:6301727 18:55334063 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/291.mtx 4:34 6:131 8:1472 10:9284 12:86088 14:703746 16:6299747 18:55335815 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/817.mtx 4:36 6:120 8:1446 10:9456 12:86316 14:703000 16:6297333 18:55328704 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/719.mtx 4:33 6:127 8:1493 10:9339 12:85830 14:703472 16:6301574 18:55336230 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/192.mtx 4:35 6:124 8:1485 10:9336 12:85905 14:703360 16:6300902 18:55342024 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/539.mtx 4:32 6:133 8:1455 10:9366 12:86477 14:702262 16:6298466 18:55336961 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/386.mtx 4:45 6:120 8:1502 10:9112 12:86511 14:701272 16:6303637 18:55318600 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/585.mtx 4:41 6:106 8:1458 10:9466 12:86206 14:702310 16:6298320 18:55348942 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/803.mtx 4:41 6:124 8:1442 10:9368 12:85941 14:702840 16:6300238 18:55343224 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/934.mtx 4:31 6:137 8:1470 10:9311 12:86273 14:702384 16:6301050 18:55342200 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/827.mtx 4:41 6:126 8:1442 10:9326 12:86060 14:702870 16:6299504 18:55342746 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/867.mtx 4:36 6:124 8:1454 10:9408 12:86054 14:703076 16:6300633 18:55334112 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/764.mtx 4:35 6:140 8:1483 10:9232 12:85679 14:703064 16:6303551 18:55342176 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/792.mtx 4:36 6:124 8:1474 10:9336 12:86016 14:703148 16:6300061 18:55345552 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/971.mtx 4:34 6:131 8:1436 10:9404 12:86488 14:701902 16:6300017 18:55339535 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/046.mtx 4:41 6:120 8:1466 10:9396 12:85651 14:702580 16:6302194 18:55345276 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/391.mtx 4:48 6:117 8:1391 10:9406 12:86077 14:703382 16:6299790 18:55337249 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/097.mtx 4:37 6:142 8:1434 10:9222 12:86258 14:703010 16:6300049 18:55341026 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/120.mtx 4:37 6:128 8:1430 10:9384 12:86261 14:702956 16:6300565 18:55330776 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/982.mtx 4:39 6:122 8:1455 10:9238 12:86404 14:703842 16:6298644 18:55342578 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/431.mtx 4:44 6:122 8:1424 10:9356 12:85837 14:703586 16:6302090 18:55337040 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/081.mtx 4:33 6:126 8:1492 10:9366 12:85810 14:703226 16:6302101 18:55336802 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/320.mtx 4:36 6:122 8:1448 10:9476 12:86061 14:702314 16:6302176 18:55333648 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/238.mtx 4:38 6:113 8:1428 10:9600 12:86291 14:701380 16:6300064 18:55338761 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/489.mtx 4:42 6:124 8:1423 10:9376 12:85968 14:703524 16:6300609 18:55329632 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/005.mtx 4:35 6:135 8:1448 10:9313 12:86180 14:702594 16:6301588 18:55342928 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/785.mtx 4:36 6:123 8:1459 10:9410 12:86000 14:703160 16:6300563 18:55334099 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/876.mtx 4:44 6:126 8:1412 10:9404 12:85967 14:702478 16:6301352 18:55338960 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/044.mtx 4:32 6:132 8:1472 10:9336 12:86190 14:703124 16:6299877 18:55331264 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/634.mtx 4:34 6:122 8:1465 10:9456 12:86201 14:702498 16:6298068 18:55335760 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/380.mtx 4:34 6:129 8:1446 10:9384 12:86443 14:702548 16:6298508 18:55337817 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/622.mtx 4:37 6:118 8:1468 10:9386 12:85916 14:704298 16:6300120 18:55326382 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/642.mtx 4:52 6:112 8:1476 10:9232 12:85564 14:703720 16:6301254 18:55335760 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/392.mtx 4:36 6:135 8:1461 10:9226 12:86026 14:704112 16:6300138 18:55332967 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/995.mtx 4:39 6:122 8:1427 10:9430 12:86088 14:703018 16:6302770 18:55332178 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/398.mtx 4:40 6:127 8:1463 10:9278 12:85834 14:703756 16:6299720 18:55339135 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/270.mtx 4:37 6:127 8:1419 10:9395 12:86510 14:702832 16:6298854 18:55333326 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/348.mtx 4:35 6:122 8:1505 10:9254 12:86048 14:703522 16:6298928 18:55347842 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/135.mtx 4:38 6:122 8:1449 10:9404 12:85947 14:703274 16:6301453 18:55335840 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/554.mtx 4:40 6:130 8:1434 10:9312 12:85787 14:703978 16:6305112 18:55323312 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/469.mtx 4:39 6:128 8:1423 10:9364 12:86255 14:702780 16:6300268 18:55339388 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/826.mtx 4:43 6:105 8:1434 10:9439 12:86451 14:702692 16:6299209 18:55339096 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/708.mtx 4:41 6:110 8:1444 10:9486 12:85862 14:703770 16:6300899 18:55325578 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/852.mtx 4:47 6:127 8:1422 10:9353 12:85816 14:702594 16:6302470 18:55339880 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/234.mtx 4:42 6:113 8:1398 10:9520 12:86335 14:702964 16:6301262 18:55326465 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/372.mtx 4:46 6:147 8:1478 10:9480 12:86260 14:703062 16:6301125 18:55339879 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/832.mtx 4:41 6:118 8:1424 10:9462 12:86074 14:702538 16:6301585 18:55339602 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/661.mtx 4:34 6:119 8:1508 10:9304 12:86146 14:703406 16:6297229 18:55343539 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/726.mtx 4:36 6:118 8:1448 10:9536 12:86083 14:701978 16:6301936 18:55333616 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/106.mtx 4:48 6:127 8:1413 10:9454 12:85750 14:702324 16:6301771 18:55332359 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/587.mtx 4:40 6:129 8:1449 10:9278 12:85975 14:703454 16:6300579 18:55339589 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/819.mtx 4:44 6:109 8:1435 10:9438 12:85997 14:703494 16:6298857 18:55340833 
/home/antonkov/masterWork/spectrumSources/../gentests/Gallager/Gallager36/658.mtx 4:42 6:125 8:1396 10:9364 12:86349 14:703516 16:6300215 18:55332069 
