Results
Filename SNR Time(ms) BER% FER%
../gentests/ComparableTest/b5_10_0000_02.mtx 4.9 926.42 0.00192527 0.108225 
../gentests/ComparableTest/b5_10_0000_02.mtx 5 1034.49 0.00149634 0.090583 
../gentests/ComparableTest/b5_10_0000_03.mtx 1 48.4566 6.35789 64.5 
../gentests/ComparableTest/b5_10_0000_03.mtx 1.1 46.8035 5.69474 58.5 
../gentests/ComparableTest/b5_10_0000_03.mtx 1.2 46.2995 5.24737 54 
../gentests/ComparableTest/b5_10_0000_03.mtx 1.3 54.7708 4.45088 49.6667 
../gentests/ComparableTest/b5_10_0000_03.mtx 1.4 53.682 3.85439 44.3333 
../gentests/ComparableTest/b5_10_0000_03.mtx 1.5 52.3484 3.50526 39.6667 
../gentests/ComparableTest/b5_10_0000_03.mtx 1.6 50.6581 3.15965 35.3333 
../gentests/ComparableTest/b5_10_0000_03.mtx 1.7 55.1415 2.77105 30.75 
../gentests/ComparableTest/b5_10_0000_03.mtx 1.8 52.615 2.23289 26.5 
../gentests/ComparableTest/b5_10_0000_03.mtx 1.9 57.0032 1.95474 23.6 
../gentests/ComparableTest/b5_10_0000_03.mtx 2 56.0644 1.73368 21 
../gentests/ComparableTest/b5_10_0000_03.mtx 2.1 64.7235 1.23835 16.2857 
../gentests/ComparableTest/b5_10_0000_03.mtx 2.2 67.631 0.933553 12.75 
../gentests/ComparableTest/b5_10_0000_03.mtx 2.3 75.6895 0.700526 10.3 
../gentests/ComparableTest/b5_10_0000_03.mtx 2.4 85.5172 0.580567 7.84615 
../gentests/ComparableTest/b5_10_0000_03.mtx 2.5 92.8147 0.468772 6.73333 
../gentests/ComparableTest/b5_10_0000_03.mtx 2.6 112.686 0.363659 5 
../gentests/ComparableTest/b5_10_0000_03.mtx 2.7 133.935 0.267836 3.74074 
../gentests/ComparableTest/b5_10_0000_03.mtx 2.8 149.703 0.207337 3.0303 
../gentests/ComparableTest/b5_10_0000_03.mtx 2.9 176.569 0.166541 2.40476 
../gentests/ComparableTest/b5_10_0000_03.mtx 3 217.547 0.133684 1.87273 
../gentests/ComparableTest/b5_10_0000_03.mtx 3.1 248.928 0.104257 1.5 
../gentests/ComparableTest/b5_10_0000_03.mtx 3.2 288.274 0.0751084 1.17647 
../gentests/ComparableTest/b5_10_0000_03.mtx 3.3 314.65 0.065334 0.971154 
../gentests/ComparableTest/b5_10_0000_03.mtx 3.4 377.84 0.0492398 0.740741 
../gentests/ComparableTest/b5_10_0000_03.mtx 3.5 401.588 0.0412339 0.668874 
../gentests/ComparableTest/b5_10_0000_03.mtx 3.6 484.225 0.0288826 0.492611 
../gentests/ComparableTest/b5_10_0000_03.mtx 3.7 535.651 0.0214659 0.413223 
../gentests/ComparableTest/b5_10_0000_03.mtx 3.8 666.013 0.0164241 0.294118 
../gentests/ComparableTest/b5_10_0000_03.mtx 3.9 782.569 0.0104793 0.223214 
../gentests/ComparableTest/b5_10_0000_03.mtx 4 826.976 0.00839695 0.19084 
../gentests/ComparableTest/b5_10_0000_03.mtx 4.1 957.323 0.00718488 0.149031 
../gentests/ComparableTest/b5_10_0000_03.mtx 4.2 1178.69 0.00555076 0.10929 
../gentests/ComparableTest/b5_10_0000_03.mtx 4.3 1388.5 0.00364787 0.0852515 
../gentests/ComparableTest/b5_10_0000_03.mtx 4.4 1949.95 0.00218131 0.0543183 
../gentests/ComparableTest/b5_10_0000_03.mtx 4.5 2290.06 0.00164742 0.0429369 
../gentests/ComparableTest/b5_10_0000_03.mtx 4.6 2697.85 0.00123996 0.0337041 
../gentests/ComparableTest/b5_10_0000_03.mtx 4.7 3571.69 0.00093719 0.0235849 
../gentests/ComparableTest/b5_10_0000_03.mtx 4.8 4356.96 0.000604487 0.0182017 
../gentests/ComparableTest/b5_10_0000_03.mtx 4.9 5309.95 0.000473957 0.0140706 
../gentests/ComparableTest/b5_10_0000_03.mtx 5 7147.89 0.000348161 0.00988924 
../gentests/ComparableTest/b5_10_0000_04.mtx 1 47.9989 6.67895 64.5 
../gentests/ComparableTest/b5_10_0000_04.mtx 1.1 46.3499 5.97105 57.5 
../gentests/ComparableTest/b5_10_0000_04.mtx 1.2 46.213 5.36053 54.5 
../gentests/ComparableTest/b5_10_0000_04.mtx 1.3 53.8215 4.87018 47.6667 
../gentests/ComparableTest/b5_10_0000_04.mtx 1.4 52.4829 4.33333 44.6667 
../gentests/ComparableTest/b5_10_0000_04.mtx 1.5 51.654 3.79123 39.6667 
../gentests/ComparableTest/b5_10_0000_04.mtx 1.6 50.6643 3.47719 35.3333 
../gentests/ComparableTest/b5_10_0000_04.mtx 1.7 56.2643 2.99079 31.75 
../gentests/ComparableTest/b5_10_0000_04.mtx 1.8 53.7689 2.61316 27.5 
../gentests/ComparableTest/b5_10_0000_04.mtx 1.9 56.6486 2.01053 22.8 
../gentests/ComparableTest/b5_10_0000_04.mtx 2 56.3984 1.68211 20.6 
../gentests/ComparableTest/b5_10_0000_04.mtx 2.1 61.8549 1.44298 17.6667 
../gentests/ComparableTest/b5_10_0000_04.mtx 2.2 68.4687 1.09276 13.625 
../gentests/ComparableTest/b5_10_0000_04.mtx 2.3 70.4155 0.962573 11.3333 
../gentests/ComparableTest/b5_10_0000_04.mtx 2.4 80.7007 0.676754 8.33333 
../gentests/ComparableTest/b5_10_0000_04.mtx 2.5 92.6275 0.513684 6.86667 
../gentests/ComparableTest/b5_10_0000_04.mtx 2.6 94.4952 0.464474 6.375 
../gentests/ComparableTest/b5_10_0000_04.mtx 2.7 107.311 0.392895 5.3 
../gentests/ComparableTest/b5_10_0000_04.mtx 2.8 126.879 0.313053 4.24 
../gentests/ComparableTest/b5_10_0000_04.mtx 2.9 131.719 0.266729 3.57143 
../gentests/ComparableTest/b5_10_0000_04.mtx 3 161.374 0.190582 2.63158 
../gentests/ComparableTest/b5_10_0000_04.mtx 3.1 189.274 0.146585 2.12766 
../gentests/ComparableTest/b5_10_0000_04.mtx 3.2 219.414 0.112704 1.72414 
../gentests/ComparableTest/b5_10_0000_04.mtx 3.3 245.86 0.0903632 1.42254 
../gentests/ComparableTest/b5_10_0000_04.mtx 3.4 287.94 0.0666859 1.0989 
../gentests/ComparableTest/b5_10_0000_04.mtx 3.5 363.414 0.0472451 0.78125 
../gentests/ComparableTest/b5_10_0000_04.mtx 3.6 421.088 0.0367779 0.609756 
../gentests/ComparableTest/b5_10_0000_04.mtx 3.7 508.961 0.0259824 0.452489 
../gentests/ComparableTest/b5_10_0000_04.mtx 3.8 638.594 0.0188348 0.314465 
../gentests/ComparableTest/b5_10_0000_04.mtx 3.9 705.751 0.0140487 0.258398 
../gentests/ComparableTest/b5_10_0000_04.mtx 4 806.993 0.0122952 0.206186 
../gentests/ComparableTest/b5_10_0000_04.mtx 4.1 1031.78 0.00775623 0.142248 
../gentests/ComparableTest/b5_10_0000_04.mtx 4.2 1196.03 0.00659649 0.111111 
../gentests/ComparableTest/b5_10_0000_04.mtx 4.3 1321.99 0.00496597 0.0910747 
../gentests/ComparableTest/b5_10_0000_04.mtx 4.4 1619.07 0.00337657 0.0678887 
../gentests/ComparableTest/b5_10_0000_04.mtx 4.5 1717.19 0.00275308 0.0584454 
../gentests/ComparableTest/b5_10_0000_04.mtx 4.6 1989.72 0.00203617 0.0465549 
../gentests/ComparableTest/b5_10_0000_04.mtx 4.7 2570.38 0.0013596 0.0336361 
../gentests/ComparableTest/b5_10_0000_04.mtx 4.8 2771.04 0.00107966 0.02918 
../gentests/ComparableTest/b5_10_0000_04.mtx 4.9 3340.3 0.000920032 0.0228206 
../gentests/ComparableTest/b5_10_0000_04.mtx 5 4262.98 0.000535553 0.0168748 
../gentests/ComparableTest/b5_10_0000_05.mtx 1 47.9165 6.15263 59 
../gentests/ComparableTest/b5_10_0000_05.mtx 1.1 46.2167 5.60263 54 
../gentests/ComparableTest/b5_10_0000_05.mtx 1.2 45.9628 5.12632 50.5 
../gentests/ComparableTest/b5_10_0000_05.mtx 1.3 54.2586 4.65789 46.6667 
../gentests/ComparableTest/b5_10_0000_05.mtx 1.4 52.812 4.15789 40.3333 
../gentests/ComparableTest/b5_10_0000_05.mtx 1.5 50.8746 3.7386 38 
../gentests/ComparableTest/b5_10_0000_05.mtx 1.6 49.6231 3.25789 33.3333 
../gentests/ComparableTest/b5_10_0000_05.mtx 1.7 54.8625 2.66447 29 
../gentests/ComparableTest/b5_10_0000_05.mtx 1.8 51.7268 2.20132 25 
../gentests/ComparableTest/b5_10_0000_05.mtx 1.9 56.4414 1.78 21 
../gentests/ComparableTest/b5_10_0000_05.mtx 2 60.8838 1.50175 19.1667 
../gentests/ComparableTest/b5_10_0000_05.mtx 2.1 65.1113 1.26015 16.4286 
../gentests/ComparableTest/b5_10_0000_05.mtx 2.2 67.4823 1.00329 13.125 
../gentests/ComparableTest/b5_10_0000_05.mtx 2.3 79.1589 0.721579 10.3 
../gentests/ComparableTest/b5_10_0000_05.mtx 2.4 85.5602 0.576113 8.23077 
../gentests/ComparableTest/b5_10_0000_05.mtx 2.5 98.0541 0.457237 6.3125 
../gentests/ComparableTest/b5_10_0000_05.mtx 2.6 99.7816 0.409649 5.61111 
../gentests/ComparableTest/b5_10_0000_05.mtx 2.7 118.14 0.302392 4.63636 
../gentests/ComparableTest/b5_10_0000_05.mtx 2.8 127.454 0.25749 4.03846 
